Date,Train_No,Line,Station,Scheduled_Time,Actual_Time,Delay_Minutes,Is_Peak_Hour,Scheduled_DateTime,Actual_DateTime,Hour,Delay_Category
01-10-2025,90000,Western,Andheri,12.00.00 AM,12.06.00 AM,6,FALSE,01-10-2025 0.00,01-10-2025 0.06,0,Moderate Delay
01-10-2025,11001,Central,Kurla,12.30.00 AM,12.33.00 AM,3,FALSE,01-10-2025 0.30,01-10-2025 0.33,0,On-Time / Minor
01-10-2025,90002,Western,Borivali,1.00.00 AM,1.00.00 AM,0,FALSE,01-10-2025 1.00,01-10-2025 1.00,1,On-Time / Minor
01-10-2025,11003,Central,Kurla,1.30.00 AM,1.30.00 AM,0,FALSE,01-10-2025 1.30,01-10-2025 1.30,1,On-Time / Minor
01-10-2025,90004,Western,Bandra,2.00.00 AM,2.04.00 AM,4,FALSE,01-10-2025 2.00,01-10-2025 2.04,2,Moderate Delay
01-10-2025,11005,Central,Thane,2.30.00 AM,2.30.00 AM,0,FALSE,01-10-2025 2.30,01-10-2025 2.30,2,On-Time / Minor
01-10-2025,90006,Western,Bandra,3.00.00 AM,3.00.00 AM,0,FALSE,01-10-2025 3.00,01-10-2025 3.00,3,On-Time / Minor
01-10-2025,11007,Central,Dadar,3.30.00 AM,3.33.00 AM,3,FALSE,01-10-2025 3.30,01-10-2025 3.33,3,On-Time / Minor
01-10-2025,90008,Western,Virar,4.00.00 AM,4.00.00 AM,0,FALSE,01-10-2025 4.00,01-10-2025 4.00,4,On-Time / Minor
01-10-2025,11009,Central,Thane,4.30.00 AM,4.30.00 AM,0,FALSE,01-10-2025 4.30,01-10-2025 4.30,4,On-Time / Minor
01-10-2025,90010,Western,Andheri,5.00.00 AM,5.02.00 AM,2,FALSE,01-10-2025 5.00,01-10-2025 5.02,5,On-Time / Minor
01-10-2025,11011,Central,Kalyan,5.30.00 AM,5.31.00 AM,1,FALSE,01-10-2025 5.30,01-10-2025 5.31,5,On-Time / Minor
01-10-2025,90012,Western,Churchgate,6.00.00 AM,6.01.00 AM,1,FALSE,01-10-2025 6.00,01-10-2025 6.01,6,On-Time / Minor
01-10-2025,11013,Central,Dadar,6.30.00 AM,6.30.00 AM,0,FALSE,01-10-2025 6.30,01-10-2025 6.30,6,On-Time / Minor
01-10-2025,90014,Western,Andheri,7.00.00 AM,7.01.00 AM,1,FALSE,01-10-2025 7.00,01-10-2025 7.01,7,On-Time / Minor
01-10-2025,11015,Central,Karjat,7.30.00 AM,7.30.00 AM,0,FALSE,01-10-2025 7.30,01-10-2025 7.30,7,On-Time / Minor
01-10-2025,90016,Western,Virar,8.00.00 AM,8.02.00 AM,2,TRUE,01-10-2025 8.00,01-10-2025 8.02,8,On-Time / Minor
01-10-2025,11017,Central,Thane,8.30.00 AM,8.36.00 AM,6,TRUE,01-10-2025 8.30,01-10-2025 8.36,8,Moderate Delay
01-10-2025,90018,Western,Bandra,9.00.00 AM,9.14.00 AM,14,TRUE,01-10-2025 9.00,01-10-2025 9.14,9,Severe Delay
01-10-2025,11019,Central,Kalyan,9.30.00 AM,9.34.00 AM,4,TRUE,01-10-2025 9.30,01-10-2025 9.34,9,Moderate Delay
01-10-2025,90020,Western,Dadar,10.00.00 AM,10.21.00 AM,21,TRUE,01-10-2025 10.00,01-10-2025 10.21,10,Severe Delay
01-10-2025,11021,Central,Thane,10.30.00 AM,10.36.00 AM,6,TRUE,01-10-2025 10.30,01-10-2025 10.36,10,Moderate Delay
01-10-2025,90022,Western,Dadar,11.00.00 AM,11.01.00 AM,1,FALSE,01-10-2025 11.00,01-10-2025 11.01,11,On-Time / Minor
01-10-2025,11023,Central,Kalyan,11.30.00 AM,11.31.00 AM,1,FALSE,01-10-2025 11.30,01-10-2025 11.31,11,On-Time / Minor
